,popularity,artist_name,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,81,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4
1,24,Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,74302,3
2,85,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4
3,48,Fleetwood Mac,Rhiannon (Will You Ever Win) - 2018 Remaster,4fbwTO3DJ2qryMddov9RbB,0.684,0.638,9,-9.025,0,0.0312,0.365,0.0207,0.119,0.81,129.959,226773,4
4,84,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
5,0,Revenant,Year 2018,7AFlWfLvu8ESnVrtHxHpEZ,0.478,0.689,11,-5.39,0,0.0469,0.0227,0.0,0.183,0.118,99.903,391298,4
6,88,The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3
7,28,Meditation Music Zone,2018 Great Mindfulness Meditation,7g2SXpbghWSauN4lVlDH2B,0.159,0.0222,2,-27.704,1,0.0461,0.93,0.975,0.105,0.0391,132.97,219000,3
8,88,The Weeknd,I Was Never There,1cKHdTo9u0ZymJdPGSh6nq,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,241067,4
9,44,Frank Sinatra,It Was A Very Good Year - 2008 Remastered,1vLPTWPfJSIrqOhNUWNfNY,0.181,0.241,10,-11.626,1,0.0309,0.9,2.21e-06,0.0808,0.127,84.693,266973,4
10,81,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,142273,4
11,45,Fleetwood Mac,Gypsy - 2018 Remaster,5nTnApD6zNvuHJe0fXU5Jg,0.615,0.689,5,-9.602,1,0.0297,0.0442,0.00704,0.278,0.736,131.824,263867,4
12,84,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
13,0,XSXD,Year 2018,7FiQW6YAc8jdglZh5lP84J,0.715,0.308,11,-14.314,0,0.0661,0.252,0.937,0.143,0.113,159.938,87040,4
14,77,Morgan Wallen,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4
15,29,Anthem Lights,Best of 2018 Medley: Girls Like You / No Tears Left to Cry / God's Plan / This Is Me / The Middle,6CmEqC6bWC1WArc9y7yfLO,0.377,0.487,0,-4.445,1,0.0371,0.764,0.0,0.358,0.469,91.82,131826,3
16,82,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
17,26,Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,0.39,0.455,4,-4.247,1,0.0316,0.397,0.0,0.125,0.358,107.012,182288,4
18,86,The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,206280,4
19,46,Fleetwood Mac,Tusk - 2018 Remaster,6U0NPtExZu3tKg8ZDozFxl,0.613,0.785,9,-11.856,0,0.0854,0.224,0.842,0.168,0.919,180.967,218867,4
20,87,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4
21,31,League of Legends,2018 World Championship Theme,2MTWR1QSHAQY8GPrxqFuuV,0.114,0.561,1,-12.103,1,0.0387,0.00747,0.96,0.128,0.172,82.836,193193,4
22,78,Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4
23,25,Anthem Lights,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),00ohIpPn9LkKpeIqhfIU9V,0.42,0.281,11,-8.204,1,0.0334,0.829,0.0,0.376,0.229,119.515,213165,4
24,84,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,4
25,47,Fleetwood Mac,Dreams - 2018 Remaster,4pbO4YIjnPtGJce4qlHSL6,0.837,0.41,0,-11.797,1,0.0332,0.144,0.0152,0.141,0.793,120.385,257480,4
26,79,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,4
27,43,Dj Kiran Kamath,New Year Mix 2018 - DJ Kiran Kamath,6yESq1llaLQJSbGVex6La8,0.698,0.902,11,-3.789,0,0.0451,0.0663,0.000256,0.281,0.756,102.053,212353,4
28,79,21 Savage,ball w/o you,50a8bKqlwDEqeiEknrzkTO,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,195047,4
29,27,The Kiboomers,The Months of the Year - 2014 Version,58lQgf1Y5gRJRr6S0Nwp50,0.903,0.262,2,-12.528,1,0.081,0.843,0.0,0.109,0.681,95.098,89655,4
30,83,Mitski,Washing Machine Heart,3jjsRKEsF42ccXf8kWR3nu,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,128199,4
31,48,Fleetwood Mac,The Chain - Live 1997; 2018 Remaster,0gvgO9wprV1bxtBh7QOwsE,0.555,0.607,9,-9.403,1,0.0439,0.008,0.0054,0.0968,0.526,151.886,269813,4
32,79,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4
33,22,Singularis,2018,2FngoCatZDqdvX8OIU07Mk,0.788,0.338,4,-11.021,0,0.0419,0.206,0.942,0.0984,0.168,130.988,139246,4
