,popularity,artist_name,genres,artist_id,followers
0,95,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",3TVXtAsR1Inumwj472S9r4,"{'href': None, 'total': 66672635}"
1,0,New Year 2022,[],2rUWfbZCCd8S9MBe0aUmfG,"{'href': None, 'total': 256}"
2,36,Caster,['melodic dubstep'],4z7OnrBHTHdfpjNKl7NGox,"{'href': None, 'total': 6446}"
3,0,Happy New Year 2022,[],54gegSRhj9UpbwYBmwLbnC,"{'href': None, 'total': 94}"
4,100,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",4q3ewBCX7sLwd24euuV69X,"{'href': None, 'total': 54213373}"
5,0,New Year's Eve 2022,[],719ZhYsrQchlMAP2VsT8Rs,"{'href': None, 'total': 28}"
6,93,Taylor Swift,['pop'],06HL4z0CvFAxyc27GXpf02,"{'href': None, 'total': 57497810}"
7,90,Kanye West,"['chicago rap', 'rap']",5K4W6rqBFWDnAN6FQUkS6x,"{'href': None, 'total': 18111067}"
8,93,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",1Xyo4u8uXC1ZmMpatF05PJ,"{'href': None, 'total': 49278948}"
9,88,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",5f7VJjfbwm532GiveGC0ZK,"{'href': None, 'total': 11354674}"
10,88,Juice WRLD,"['chicago rap', 'melodic rap']",4MCBfE4596Uoi2O4DtmEMz,"{'href': None, 'total': 25401429}"
11,88,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2YZyLoL8N0Wb9xBt1NhZWg,"{'href': None, 'total': 21386525}"
12,84,Morgan Wallen,['contemporary country'],4oUHIQIBe0LHzYfvXNW4QM,"{'href': None, 'total': 3864098}"
13,85,$uicideboy$,"['dark trap', 'new orleans rap', 'underground hip hop']",1VPmR4DJC1PlOtd0IADAO0,"{'href': None, 'total': 4767621}"
14,89,Post Malone,"['dfw rap', 'melodic rap', 'rap']",246dkjvS1zLTtiykXe5h60,"{'href': None, 'total': 37954991}"
15,91,Harry Styles,['pop'],6KImCVD70vtIoJWnq6nGn3,"{'href': None, 'total': 22911232}"
16,89,Beyoncé,"['dance pop', 'pop', 'r&b']",6vWDO969PvNqNYHIOW5v0m,"{'href': None, 'total': 32174838}"
17,86,21 Savage,"['atl hip hop', 'rap', 'trap']",1URnnhqYAYcrqrcwql10ft,"{'href': None, 'total': 11658160}"
18,85,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",4O15NlyKLIASxsJ0PrXPfz,"{'href': None, 'total': 13765871}"
19,90,Eminem,"['detroit hip hop', 'hip hop', 'rap']",7dGJo4pcD2V6oG8kP0tJRR,"{'href': None, 'total': 58799895}"
20,85,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",55Aa2cqylxrFIXC767Z865,"{'href': None, 'total': 12524976}"
21,88,Doja Cat,"['dance pop', 'pop']",5cj0lLjcoR7YOSnhnX0Po5,"{'href': None, 'total': 21468384}"
22,87,Travis Scott,"['rap', 'slap house']",0Y5tJX1MQlPlqiwlOH1tJY,"{'href': None, 'total': 21267345}"
23,84,"Tyler, The Creator","['hip hop', 'rap']",4V8LLVI7PbaPR0K2TGSxFF,"{'href': None, 'total': 9491675}"
24,83,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",3hcs9uc56yIGFCSy9leWe7,"{'href': None, 'total': 4461758}"
25,86,XXXTENTACION,"['emo rap', 'miami hip hop']",15UsOTVnJzReFVN1VCnxy4,"{'href': None, 'total': 38187101}"
26,84,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",2hlmm7s2ICUX0LVIhVFlZQ,"{'href': None, 'total': 4558176}"
27,83,Steve Lacy,['afrofuturism'],57vWImR43h4CaDao012Ofp,"{'href': None, 'total': 1888243}"
28,85,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",0hCNtLu0JehylgoiP8L4Gh,"{'href': None, 'total': 25978238}"
29,83,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",4LLpKhyESsyAXpc4laK94U,"{'href': None, 'total': 7917601}"
30,90,Justin Bieber,"['canadian pop', 'pop']",1uNFoZAHBGtllmzznpCI3s,"{'href': None, 'total': 64942063}"
31,91,BTS,"['k-pop', 'k-pop boy group']",3Nrfpe0tUJi4K4DXYWgMUX,"{'href': None, 'total': 54101839}"
32,83,Polo G,['chicago rap'],6AgTAQt8XS6jRWi4sX7w49,"{'href': None, 'total': 8160254}"
33,88,Billie Eilish,"['art pop', 'electropop', 'pop']",6qqNVTkY8uBg9cP3Jd7DAH,"{'href': None, 'total': 68561145}"
34,87,Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b']",7bXgB6jMjp9ATFy66eO08Z,"{'href': None, 'total': 16674996}"
35,87,Ariana Grande,"['dance pop', 'pop']",66CXWjxzNUsdJxJ2JdwvnR,"{'href': None, 'total': 82754755}"
36,87,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",5pKCCKE2ajJHZ9KAiaK11H,"{'href': None, 'total': 49941479}"
37,84,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",50co4Is1HCEo8bhOyUWKpn,"{'href': None, 'total': 7467372}"
38,82,Trippie Redd,"['melodic rap', 'rap', 'trap']",6Xgp2XMz1fhVYe7i6yNAax,"{'href': None, 'total': 7924186}"
39,81,Luke Combs,"['contemporary country', 'country']",718COspgdWOnwOFpJHRZHS,"{'href': None, 'total': 7056917}"
40,79,Zach Bryan,['oklahoma country'],40ZNYROS4zLfyyBSs2PGe2,"{'href': None, 'total': 578562}"
41,87,Bruno Mars,"['dance pop', 'pop']",0du5cEVh5yTK9QJze8zA0C,"{'href': None, 'total': 42691276}"
42,79,Rod Wave,['florida rap'],45TgXXqMDdF8BkjA83OM7z,"{'href': None, 'total': 3566178}"
43,90,Ed Sheeran,"['pop', 'uk pop']",6eUKZXaKkcviH0Ku9w2n3V,"{'href': None, 'total': 101838678}"
44,85,Khalid,"['pop', 'pop r&b']",6LuN9FCkKOj5PcnpouEgny,"{'href': None, 'total': 15500623}"
45,82,DaBaby,"['north carolina hip hop', 'rap', 'trap']",4r63FhuTkUYltbVAg5TQnk,"{'href': None, 'total': 10038023}"
46,83,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']",2LIk90788K0zvyj2JJVwkJ,"{'href': None, 'total': 2483912}"
47,82,Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rap']",699OTQXzgjhIYAHMy9RyPD,"{'href': None, 'total': 6974445}"
48,80,Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']",46SHBwWsqBkxI7EeeBEQG7,"{'href': None, 'total': 8452117}"
49,86,Lana Del Rey,"['art pop', 'pop']",00FQb4jTyendYWaN8pK0wa,"{'href': None, 'total': 17660262}"
50,78,Kali Uchis,"['colombian pop', 'pop']",1U1el3k54VvEUzo3ybLPlM,"{'href': None, 'total': 3125184}"
51,86,Anuel AA,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",2R21vXR83lH98kGeO99Y66,"{'href': None, 'total': 23396712}"
