,popularity,artist_name,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,99,Bad Bunny,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,4
1,20,Ish Kevin,My Year (2022),4eHkG6yWQ4pD0zqVkV0R5a,0.521,0.683,5,-6.24,0,0.501,0.159,0.0,0.187,0.737,139.439,161808,3
2,84,Calvin Harris,Potion (with Dua Lipa & Young Thug),7fYRg3CEbk6rNCuzNzMT06,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,214460,4
3,0,Avicii,Street Dancer - Sgt Slick's Discotizer 2022 Remix,6m5Pu0B2YVPR8BkrbKvHuE,0.658,0.935,2,-6.03,0,0.0679,0.00948,0.67,0.0536,0.919,124.006,173161,4
4,91,Steve Lacy,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,232115,4
5,0,Fabio Bevere,YEAR 2022,7niIWQiDqvFvyNtRJBgjIg,0.809,0.548,7,-10.46,1,0.113,0.564,0.844,0.0964,0.104,120.003,308000,4
6,92,Shakira,Te Felicito,2rurDawMfoKP4uHyb2kJBt,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,172235,4
7,0,Aashish Yadav,Happy New Year 2022 - Khortha,6ZsEbj9OvoANL0wtIjJRq5,0.668,0.91,7,-3.507,1,0.0454,0.356,0.0,0.106,0.888,87.982,210117,4
8,97,Bad Bunny,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4
9,0,Regard,Hallucination,5cNnjkDSjrrPZxfIbnApUI,0.687,0.788,6,-5.142,0,0.0352,0.0121,0.0,0.358,0.669,123.02,174795,4
10,96,Joji,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3
11,0,Luc Francois Sun,School year 2022,3vaf8OOVW0nU3vehNREhJb,0.816,0.156,1,-17.114,0,0.051,0.872,0.301,0.363,0.24,127.988,191250,4
12,91,Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4
13,0,Brett Eldredge,It's the Most Wonderful Time of the Year,0iwZSwPYSH1Sqg2BP4SSL8,0.359,0.719,1,-5.266,1,0.0635,0.399,0.0,0.23,0.692,195.075,177108,3
14,96,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
15,31,2002,Summer of 300 Years,5hhw7WkW1tJ5hFVEme6Mle,0.22,0.111,4,-20.323,1,0.0339,0.951,0.852,0.0995,0.0901,171.957,326760,4
16,91,Post Malone,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4
17,31,saturn,2022 my year fr,4u2gL1g6AgF2vlAURETOXi,0.429,0.834,0,-6.61,0,0.261,0.0106,0.0,0.163,0.664,179.932,110517,4
18,96,Bad Bunny,Efecto,5Eax0qFko2dh7Rl2lYs3bx,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061,4
19,0,Nancy Wilson,What Are You Doing New Year's Eve? - Remastered 1995,0N0lD4pbaPN6xilBZhMSyH,0.416,0.282,6,-10.288,1,0.0301,0.302,0.0,0.0476,0.35,75.655,145080,4
20,92,Harry Styles,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4
21,27,Driveways,Ten Years Later (2022),5HcV3YJu0u1PERen9uSV0T,0.494,0.939,1,-3.608,1,0.0354,0.000768,0.0,0.118,0.645,140.992,189149,4
22,85,Morgan Wallen,You Proof,5uU1uuyaUIBOiiUSQG7Wl3,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,157478,4
23,33,Norah Jones,Seven Years,3B26XqOpSrxKSPKWJCVlwF,0.592,0.193,7,-13.876,1,0.0334,0.955,0.00508,0.117,0.383,127.381,145414,4
24,94,OneRepublic,I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4
25,89,Future,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4
26,21,INMBeatz,New Year New Me,2lGrMaDv56BVIxNrgT5GY7,0.726,0.371,1,-17.857,0,0.0722,0.021,0.664,0.114,0.0799,141.059,60966,4
27,90,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),0hquQWY3xvYqN4qtiquniF,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907,4
28,0,Swingin' Utters,Scared - 2022 Remaster,1QYUchNFPJCk5knC37dTQg,0.354,0.955,4,-6.209,1,0.0537,3.37e-05,0.45,0.12,0.816,91.904,151569,4
29,95,Bad Bunny,Moscow Mule,6Xom58OOXk2SoU711L2IXO,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940,4
30,0,Swingin' Utters,Politician - 2022 Remaster,1r6KsxoqWjyatwZcz3n2c4,0.255,0.955,2,-5.602,1,0.0527,0.000828,0.00574,0.241,0.643,172.327,181747,4
31,89,Nicki Minaj,Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,170977,4
32,0,Swingin' Utters,Strongman - 2022 Remaster,1oslhN5RJTTfZw9qXvgwAg,0.251,0.944,7,-5.669,1,0.0719,0.000327,0.0,0.0835,0.853,188.003,137237,4
33,88,Yung Gravy,Betty (Get Money),4cacyP5c3PMlfnyjpg13xW,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,146471,4
34,0,Swingin' Utters,Hello Charlatan - 2022 Remaster,15tHQfwlhUJFTbuDXLtcXG,0.328,0.877,7,-4.67,1,0.0464,0.000526,0.00061,0.352,0.72,151.921,167425,4
35,96,Bad Bunny,Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,4
36,0,Swingin' Utters,Mr. Norris - 2022 Remaster,2J9rTQhBtWdIWifW4em7Kh,0.297,0.927,11,-6.112,1,0.0948,0.000232,3.65e-06,0.185,0.493,135.877,181731,3
37,91,Lizzo,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,4
38,0,Swingin' Utters,Mommy Mommy - 2022 Remaster,5Y6q6EOjle3Pd3hLQ5YijA,0.455,0.979,7,-6.455,1,0.0576,8.33e-05,0.000469,0.241,0.647,91.25,163325,4
39,92,Bad Bunny,Party,4tYFy8ALRjIZvnvSLw5lxN,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,227629,4
40,0,Swingin' Utters,Proven Song - 2022 Remaster,3O3ESi8zdtOnGdySYHzxBC,0.466,0.963,7,-4.657,1,0.0686,0.000868,1.1e-05,0.138,0.854,177.503,173079,4
41,90,Bad Bunny,Después de la Playa,1dm6z1fWB0cErMszU25dy2,0.564,0.903,5,-3.221,1,0.307,0.356,0.0,0.175,0.607,78.293,230400,4
42,0,Swingin' Utters,Lazer Attack - 2022 Remaster,51p7VjmLSJlZ85JGBJn977,0.349,0.867,2,-5.285,1,0.306,0.000394,0.0127,0.0994,0.772,186.812,136739,4
43,88,Jack Harlow,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,173948,4
44,0,Swingin' Utters,Petty Wage - 2022 Remaster,44bwe385Q7j4NWcfu69uIR,0.416,0.913,0,-5.661,1,0.0717,0.000573,3.57e-05,0.339,0.764,179.1,114599,4
45,0,Swingin' Utters,Nine To Five - 2022 Remaster,0NYv7N0XY0S1SbaiqgSt9k,0.445,0.885,4,-6.919,0,0.209,0.000526,8.52e-06,0.488,0.476,184.041,88227,4
46,94,KAROL G,PROVENZA,7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,210200,4
47,0,Swingin' Utters,No Eager Men - 2022 Remaster,1m7ERud1aFSV8HkybKy0vJ,0.347,0.951,5,-4.763,1,0.0588,0.000315,3.59e-05,0.252,0.629,189.226,179066,4
48,87,DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),0g2Bbgy7P41pFjMWJuzsf4,0.718,0.461,4,-7.676,0,0.0797,0.068,0.0,0.283,0.181,129.953,178176,4
49,0,Swingin' Utters,Could You Lie? - 2022 Remaster,7hcDQpLCEeXogt8XSsRMgX,0.35,0.931,9,-6.505,1,0.0751,0.000958,0.00053,0.108,0.829,86.79,135635,4
50,83,Bailey Zimmerman,Rock and A Hard Place,4686eQ81DEswHa90bcdlC9,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,207541,3
51,0,Swingin' Utters,These Pretty Pleasures - 2022 Remaster,3rAWbGlSJHifSKNfSW6zcB,0.231,0.908,7,-4.99,1,0.0768,7.54e-05,5.08e-05,0.341,0.71,178.257,175261,4
52,82,Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,228013,3
53,0,Swingin' Utters,Here We Are Nowhere - 2022 Remaster,3ocjVjqulacLO9B48pFY0L,0.413,0.958,2,-4.551,1,0.108,0.00187,0.0,0.158,0.711,128.825,58320,4
54,0,Swingin' Utters,Smoke Like A Girl - 2022 Remaster,1itZHeP9uEo77Wwh5zKfdD,0.343,0.945,2,-6.159,1,0.0776,7.65e-05,0.0796,0.249,0.669,164.687,155025,4
55,94,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4
56,0,Swingin' Utters,Reggae Gets Big In A Small Town - 2022 Remaster,5vMxH2k8TatQIGPxNxiE4c,0.293,0.929,4,-5.391,0,0.0747,0.000361,0.0,0.124,0.82,183.549,117571,4
57,93,Bad Bunny,Tarot,41oY4WCTj5kccfesTVFnvN,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,237895,4
58,31,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",3uRUbppUFPsmrccRXSDAjE,0.756,0.809,5,-3.655,1,0.0541,0.0173,3.69e-06,0.66,0.64,109.901,264847,4
59,81,Cole Swindell,She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,206107,4
60,21,Blinky Blinky Computerband,I See You - Vocolectro Mix,7fC8nrBHdWPLFqJB8B5O4G,0.497,0.882,0,-5.555,1,0.0368,0.000321,0.125,0.0702,0.873,126.025,266720,4
61,100,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",2tTmW7RDtMQtBk7m2rYeSw,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938,4
62,28,Jordan Tavita,100 Years From Now - The Voice Australia 2022 / Grand Finalist Original,423Fvj5rrjrP5TdTTmPLa1,0.286,0.469,9,-8.899,1,0.0386,0.303,4.98e-05,0.103,0.198,139.333,225811,4
